Mod:Item:MetaData, Localized Name
car:screw_driver, Screw Driver
car:hammer, Malleus
car:cable_insulator, Cable Insulator
car:key, Key
car:battery, Battery
car:number_plate, Number Plate
champions:champion_egg, Spawn Champion
chanceglobe:chance_globe, Chance Globe
chesthopper:chest_hopper, Chest Hopper
chesthopper:iron_chest_hopper, Iron Chest Hopper
chesthopper:gold_chest_hopper, Gold Chest Hopper
chesthopper:diamond_chest_hopper, Diamond Chest Hopper
chesthopper:copper_chest_hopper, Copper Chest Hopper
chesthopper:silver_chest_hopper, Silver Chest Hopper
chineseworkshop:logo, Debug Tool
chineseworkshop:material:0, Black Clay
chineseworkshop:material:1, Black Brick
chineseworkshop:material:2, Yellow Clay
chineseworkshop:material:3, Yellow Brick
chineseworkshop:black_brick_wall, Black Brick Wall
chineseworkshop:black_clay_block, Block of Black Clay
chineseworkshop:red_pillar, Red Pillars
chineseworkshop:dark_green_pillar, Dark Green Pillars
chineseworkshop:andesite_pavement, Andesite Road
chineseworkshop:andesite_pavement_stairs, Andesite Road Stairs
chineseworkshop:white_gray_wall, White Gray Wall
chineseworkshop:white_gray_wall_stairs, White Gray Wall Stairs
chineseworkshop:stone_tower_lamp, Stone Tower Lamp
chineseworkshop:candle, Candle
chineseworkshop:red_lantern, Red Lantern
chineseworkshop:white_lantern, White Lantern
chineseworkshop:tree_altar, Decorative Tree Bed
chineseworkshop:table, Table
chineseworkshop:bench, Stool
chineseworkshop:paper_window, Paper Window
chineseworkshop:bracket_set, Dougong
chineseworkshop:carving, Carving
chineseworkshop:small_black_brick_wall, Small Black Brick Wall
chineseworkshop:small_white_gray_wall, Small White Gray Wall
chineseworkshop:thin_white_gray_wall, Thin White Gray Wall
chineseworkshop:diorite_fence, Diorite Fence
chineseworkshop:andesite_fence, Andesite Fence
chineseworkshop:oak_chinese_fence, Oak Chinese Fence
chineseworkshop:lithel_deco, Lithel Deco
chineseworkshop:oak_wall, Oak Wall
chineseworkshop:door, Chinese Style Wooden Door
chineseworkshop:high_door, Chinese High Door
chineseworkshop:wooden_window_door, Wooden Window Door
chineseworkshop:window_door, windowed door
chineseworkshop:chinese_oak_door, Chinese Oak Door
chineseworkshop:upper_door_frame, Upper Door Frame
chineseworkshop:threshold, Threshold
chineseworkshop:men_dun, Men Dun
chineseworkshop:black_tile_roof, Black Roof Tile
chineseworkshop:black_tile_roof_j, Black Roof Tile J
chineseworkshop:black_tile_roof_slab, Black Roof Tile Slab
chineseworkshop:black_tile_roof_slab_top, Black Roof Tile Slab Top
chineseworkshop:black_roof_tile_ridge, Black Roof Tile Ridge
chineseworkshop:black_roof_tile_edge:0, Black Roof Tile Edge
chineseworkshop:black_roof_tile_edge:1, Black Roof Tile Edge
chineseworkshop:black_roof_tile_edge_slab:0, Black Roof Tile Edge Slab
chineseworkshop:black_roof_tile_edge_slab:1, Black Roof Tile Edge Slab Top
chineseworkshop:black_tile_ridge_roof_top, Black Roof Tile Ridge Top
chineseworkshop:black_tile_ridge_roof_edge, Black Roof Tile Ridge Edge
chineseworkshop:black_tile_ridge_roof_j, Black Roof Tile Ridge J
chineseworkshop:black_tile_ridge_roof_edge_top, Black Roof Tile Ridge Edge Top
chineseworkshop:yellow_tile_roof, Yellow Roof Tile
chineseworkshop:yellow_tile_roof_j, Yellow Roof Tile J
chineseworkshop:yellow_tile_roof_slab, Yellow Roof Tile Slab
chineseworkshop:yellow_tile_roof_slab_top, Yellow Roof Tile Slab Top
chineseworkshop:yellow_roof_tile_ridge, Yellow Roof Tile Ridge
chineseworkshop:yellow_roof_tile_edge:0, Yellow Roof Tile Edge
chineseworkshop:yellow_roof_tile_edge:1, Yellow Roof Tile Edge
chineseworkshop:yellow_roof_tile_edge_slab:0, Yellow Roof Tile Edge Slab
chineseworkshop:yellow_roof_tile_edge_slab:1, Yellow Roof Tile Edge Slab Top
chineseworkshop:yellow_tile_ridge_roof_top, Yellow Roof Tile Ridge Top
chineseworkshop:yellow_tile_ridge_roof_edge, Yellow Roof Tile Ridge Edge
chineseworkshop:yellow_tile_ridge_roof_j, Yellow Roof Tile Ridge J
chineseworkshop:yellow_tile_ridge_roof_edge_top, Yellow Roof Tile Ridge Edge Top
chineseworkshop:thatch_roof, Thatch Roof
chineseworkshop:thatch_tile_roof_slab, Thatch Tile Roof Slab
chineseworkshop:thatch_tile_roof_slab_top, Thatch Tile Roof Slab TOP
chineseworkshop:thatch_tile_ridge_roof, Thatch Tile Ridge Roof
chineseworkshop:thatch_tile_ridge_roof_top, Thatch Tile Ridge Roof TOP
chineseworkshop:thatch_tile_ridge_roof_edge, Thatch Tile Ridge Roof Edge
chineseworkshop:thatch_tile_ridge_roof_edge_top, Thatch Tile Ridge Roof Edge TOP
chineseworkshop:thatch_roof_tile_edge:0, Thatch Roof Tile Edge
chineseworkshop:thatch_roof_tile_edge:1, Thatch Roof Tile Edge J
chineseworkshop:thatch_roof_tile_edge_slab:0, Thatch Roof Tile Edge Slab
chineseworkshop:thatch_roof_tile_edge_slab:1, Thatch Roof Tile Edge Slab TOP
chineseworkshop:fu, 福
chineseworkshop:rammed_earth, Rammed Earth
chineseworkshop:rammed_earth_wall, Rammed Earth Wall
chineseworkshop:rammed_earth_stairs, Rammed Earth Stairs
chineseworkshop:stone_window, Diorite Window
chineseworkshop:rouge_brick, Rouge Brick
chineseworkshop:rouge_brick_wall, Rouge Brick Wall
chineseworkshop:palace_lantern, Palace Lantern
chineseworkshop:rouge_brick_stairs, Rouge Brick Stairs
chineseworkshop:black_brick_wall_stairs, Black Brick Wall Stairs
chineseworkshop:wooden_window, Wooden Window
chineseworkshop:wooden_threshold, Wooden Threshold
christmasfestivity:candy_canes, Candy Canes
christmasfestivity:sweet_christmas_tree, Sweet Christmas Tree
christmasfestivity:gingerbread, Gingerbread
christmasfestivity:gingerbread_man, Gingerbread Man
christmasfestivity:hot_chocolate, Hot Cocolate
christmasfestivity:chocolate_bar, Chocolate Bars
christmasfestivity:christmas_reindeer_biscuits, Christmas Reindeer Biscuits
christmasfestivity:biscuits_snowman, Biscuits to form of snowman
christmasfestivity:eggnog, Eggnog
christmasfestivity:light_bulb, Light Bulb
christmasfestivity:blue_light_bulb, Blue Light Bulb
christmasfestivity:green_light_bulb, Green Light Bulb
christmasfestivity:red_light_bulb, Red Light Bulb
christmasfestivity:yellow_light_bulb, Yellow Light Bulb
christmasfestivity:brown_light_bulb, Brown Light Bulb
christmasfestivity:orange_light_bulb, Orange Light Bulb
christmasfestivity:purple_light_bulb, Purple Light Bulb
christmasfestivity:magenta_light_bulb, Magenta Light Bulb
christmasfestivity:red_gift_card, Christmas Red Gift Card
christmasfestivity:blue_gift_card, Christmas Blue Gift Card
christmasfestivity:green_gift_card, Christmas Green Gift Card
christmasfestivity:yellow_gift_card, Christmas Yellow Gift Card
christmasfestivity:brown_gift_card, Christmas Brown Gift Card
christmasfestivity:orange_gift_card, Christmas Orange Gift Card
christmasfestivity:magenta_gift_card, Christmas Magenta Gift Card
christmasfestivity:purple_gift_card, Christmas Purple Gift Card
christmasfestivity:green_wire, Green Wire
christmasfestivity:marrychristmas, item.marrychristmas.name
christmasfestivity:jinglebells, item.jinglebells.name
christmasfestivity:deckthehallsb, item.deckthehallsb.name
christmasfestivity:christmasballs_blue, Blue Block
christmasfestivity:christmasballs_green, Green Block
christmasfestivity:christmasballs_red, Red Block
christmasfestivity:christmasballs_yellow, Yellow Block
christmasfestivity:christmasballs_brown, Brown Block
christmasfestivity:christmasballs_purple, Purple Block
christmasfestivity:christmasballs_magenta, Magenta Block
christmasfestivity:christmasballs_orange, Orange Block
christmasfestivity:sugar_block, Block of Sugar
christmasfestivity:leaves_christmas_light, Christmas Leaves
christmasfestivity:light_blue, Blue Christmas Lights
christmasfestivity:light_angle_blue, Angle Blue Christmas Lights
christmasfestivity:light_green, Green Christmas Lights
christmasfestivity:light_angle_green, Angle Green Christmas Lights
christmasfestivity:light_red, Red Christmas Lights
christmasfestivity:light_angle_red, Angle Red Christmas Lights
christmasfestivity:light_yellow, Yellow Christmas Lights
christmasfestivity:light_angle_yellow, Angle Yellow Christmas Lights
christmasfestivity:light_brown, Brown Christmas Lights
christmasfestivity:light_angle_brown, Angle Brown Christmas Lights
christmasfestivity:light_orange, Orange Christmas Lights
christmasfestivity:light_angle_orange, Angle Orange Christmas Lights
christmasfestivity:light_magenta, Magenta Christmas Lights
christmasfestivity:light_angle_magenta, Angle Magenta Christmas Lights
christmasfestivity:light_purple, Purple Christmas Lights
christmasfestivity:light_angle_purple, Angle Purple Christmas Lights
christmasfestivity:garland_round, Christmas Wreath
christmasfestivity:garland, Christmas Garland
christmasfestivity:garland_angle,  Christmas Angle Garland
christmasfestivity:epiphany_stocking_red, Red Christmas Stokings
christmasfestivity:epiphany_stocking_blue, Blue Christmas Stokings
christmasfestivity:epiphany_stocking_green, Green Christmas Stokings
christmasfestivity:epiphany_stocking_yellow, Yellow Christmas Stokings
christmasfestivity:epiphany_stocking_brown, Brown Christmas Stokings
christmasfestivity:epiphany_stocking_orange, Orange Christmas Stokings
christmasfestivity:epiphany_stocking_magenta, Magenta Christmas Stokings
christmasfestivity:epiphany_stocking_purple, Purple Christmas Stokings
christmasfestivity:candy_canes_block, Candy Canes Block
christmasfestivity:tip_tree, Christmas Tree Topper
christmasfestivity:star_christmas_tree_topper, Star Christmas Tree Topper
christmasfestivity:christmas_tree, Christmas Tree
christmasfestivity:little_christmas_tree, Little Christmas Tree
christmasfestivity:red_christmas_present, Christmas Red Present
christmasfestivity:blue_christmas_present, Christmas Blue Present
christmasfestivity:green_christmas_present, Christmas Green Present
christmasfestivity:yellow_christmas_present, Christmas Yellow Present
christmasfestivity:brown_christmas_present, Christmas Brown Present
christmasfestivity:orange_christmas_present, Christmas Orange Present
christmasfestivity:magenta_christmas_present, Christmas Magenta Present
christmasfestivity:purple_christmas_present, Christmas Purle Present
christmasfestivity:blue_balls, Blue Christmas Balls
christmasfestivity:green_balls, Green Christmas Balls
christmasfestivity:red_balls, Red Christmas Balls
christmasfestivity:yellow_balls, Yellow Christmas Balls
christmasfestivity:brown_balls, Brown Christmas Balls
christmasfestivity:orange_balls, Orange Christmas Balls
christmasfestivity:magenta_balls, Magenta Christmas Balls
christmasfestivity:purple_balls, Purple Christmas Balls
compactsolars:compact_solar_block:0, Low Voltage Solar Array
compactsolars:compact_solar_block:1, Medium Voltage Solar Array
compactsolars:compact_solar_block:2, High Voltage Solar Array
compactsolars:solar_hat_low_voltage, Low Voltage Solar Hat
compactsolars:solar_hat_medium_voltage, Medium Voltage Solar Hat
compactsolars:solar_hat_high_voltage, High Voltage Solar Hat
doggytalents:dog_bed, Dog Bed
doggytalents:dog_bath, Dog Bath
doggytalents:food_bowl, Food Bowl
doggytalents:throw_bone, item.doggytalents.throwbone.name
doggytalents:training_treat, Training Treat
doggytalents:super_treat, Super Treat
doggytalents:master_treat, Master Treat
doggytalents:dire_treat, Dire Treat
doggytalents:breeding_bone, Breeding Bone
doggytalents:collar_shears, Collar Shears
doggytalents:command_emblem, Command Emblem
doggytalents:doggy_charm, Doggy Charm
doggytalents:radio_collar, Radio Collar
doggytalents:wool_collar, Wool Collar
doggytalents:fancy_collar:0, Creative Collar
doggytalents:fancy_collar:1, Spotted Collar
doggytalents:fancy_collar:2, Multicoloured Collar
doggytalents:radar, Radar
doggytalents:whistle, Whistle
doggytalents:treat_bag, Treat Bag
doggytalents:chew_stick, Chew Stick
doggytalents:cape, Tartan Cape
doggytalents:sunglasses, Dog Sunglasses
doggytalents:cape_coloured, Coloured Cape
doggytalents:leather_jacket, Leather Jacket
doggytalents:tiny_bone, Tiny Bone
doggytalents:big_bone, Big Bone
dungeonsmod:home_gem, Home Gem
dungeonsmod:back_pergamine, Back Pergamine
dungeonsmod:sun_overdrive, Sun Overdrive
dynamictrees:dendropotion:0, Biochar Base Potion
dynamictrees:dendropotion:1, Potion of Depletion
dynamictrees:dendropotion:2, Potion of Defoliance
dynamictrees:dendropotion:3, Potion of Burgeoning
dynamictrees:dendropotion:4, Potion of Fertility
dynamictrees:dendropotion:5, Potion of Persistance
dynamictrees:dendropotion:6, Potion of Transformation
dynamictrees:dirtbucket, Dirt Bucket
dynamictrees:staff, Woodland Staff
dynamictrees:appleseed, Apple Pip
dynamictrees:oakbranch, Dynamic Oak Tree
dynamictrees:oakseed, Oak Acorn
dynamictrees:sprucebranch, Dynamic Spruce Tree
dynamictrees:spruceseed, Spruce Cone
dynamictrees:birchbranch, Dynamic Birch Tree
dynamictrees:birchseed, Birch Catkin
dynamictrees:junglebranch, Dynamic Jungle Tree
dynamictrees:jungleseed, Jungle Pod
dynamictrees:acaciabranch, Dynamic Acacia Tree
dynamictrees:acaciaseed, Acacia Seed
dynamictrees:darkoakbranch, Dynamic Dark Oak Tree
dynamictrees:darkoakseed, Dark Oak Acorn
dynamictrees:cactusbranch, tile.cactusbranch.name
dynamictrees:cactusseed, Cactus Seed
dynamictrees:leaves0, Dynamic Leaves
dynamictrees:leaves1, Dynamic Leaves
eplus:advanced_table, Advanced Enchantment Table
eplus:decorative_book:0, Enchanting Plus Book
eplus:decorative_book:1, Enchanting Book
eplus:decorative_book:2, Prismarine Book
eplus:decorative_book:3, Nether Book
eplus:decorative_book:4, Tartarite Book
eplus:decorative_book:5, Pale Book
eplus:decorative_book:6, Metal Book
eplus:table_upgrade, Table Upgrade
energyconverters:energy_bridge, Энергетический мост §A(для соединения источников и приёмников)
energyconverters:energy_producer_fe, Источник RF (универсальный)
energyconverters:energy_consumer_fe, Приёмник RF (универсальный)
energyconverters:energy_producer_eu:0, Источник eU 32 еЭ/т (IC2)
energyconverters:energy_producer_eu:1, Источник eU 128 еЭ/т (IC2)
energyconverters:energy_producer_eu:2, Источник eU 512 еЭ/т (IC2)
energyconverters:energy_producer_eu:3, Источник eU 2048 еЭ/т (IC2)
energyconverters:energy_producer_eu:4, Источник eU 8196 еЭ/т (IC2)
energyconverters:energy_consumer_eu:0, Приёмник eU 32 еЭ/т (IC2)
energyconverters:energy_consumer_eu:1, Приёмник eU 128 еЭ/т (IC2)
energyconverters:energy_consumer_eu:2, Приёмник eU 512 еЭ/т (IC2)
energyconverters:energy_consumer_eu:3, Приёмник eU 2048 еЭ/т (IC2)
energyconverters:energy_consumer_eu:4, Приёмник eU 8196 еЭ/т (IC2)
energyconverters:energy_producer_rf, Источник RF (особый)
energyconverters:energy_consumer_rf, Приёмник RF (особый)
energyconverters:energy_producer_mj, Источник MJ Energy
energyconverters:energy_consumer_mj, Приёмник MJ Energy
erebus:erebus_food:0, Beetle Larva
erebus:erebus_food:1, Cooked Beetle Larva
erebus:erebus_food:2, Grasshopper Leg
erebus:erebus_food:3, Cooked Grasshopper Leg
erebus:erebus_food:4, Tarantula Leg
erebus:erebus_food:5, Crispy Tarantula Leg
erebus:erebus_food:6, Bamboo Soup
erebus:erebus_food:7, Melonade
erebus:erebus_food:8, Sparkly Melonade
erebus:erebus_food:9, Larvae-on-a-Stick
erebus:erebus_food:10, Honey Sandwich
erebus:erebus_food:11, Dark Fruit
erebus:erebus_food:12, Raw Titan Chop
erebus:erebus_food:13, Cooked Titan Chop
erebus:erebus_food:14, Swampberries
erebus:erebus_food:15, Cabbage
erebus:erebus_food:16, Cooked Titan Stew
erebus:erebus_food:17, Raw Prickly Pear
erebus:erebus_food:18, Cooked Prickly Pear
erebus:erebus_food:19, Dark Fruit Pie
erebus:heart_berries, Heartberries
erebus:life_blood, Life Blood
erebus:turnip, Turnips
erebus:cabbage_seeds, Cabbage Seeds
erebus:mandrake_root, Mandrake Root
erebus:stag_heart_raw, Heart of the Stag
erebus:stag_heart_cooked, Roasted Heart of the Stag
erebus:smoothie:0, Green Tea Grasshopper Smoothie
erebus:smoothie:1, Money Honey Smoothie
erebus:smoothie:2, Nothing In The Middle Smoothie
erebus:smoothie:3, Green Giant Smoothie
erebus:smoothie:4, Seedy Goodness Smoothie
erebus:smoothie:5, Givin' Me The Blues Smoothie
erebus:smoothie:6, Hot Hot Baby Smoothie
erebus:smoothie:7, Don't Meddle With The Nettle Smoothie
erebus:smoothie:8, Liquid Gold Smoothie
erebus:smoothie:9, Bryuf's Brew Smoothie
erebus:idols:0, Mud Scarab
erebus:idols:1, Iron Scarab
erebus:idols:2, Gold Scarab
erebus:idols:3, Jade Scarab
erebus:idols:4, Spawn Mud Umbergolem
erebus:idols:5, Spawn Iron Umbergolem
erebus:idols:6, Spawn Gold Umbergolem
erebus:idols:7, Spawn Jade Umbergolem
erebus:jade_helmet, Jade Helmet
erebus:jade_chestplate, Jade Chestplate
erebus:jade_leggings, Jade Leggings
erebus:jade_boots, Jade Boots
erebus:jade_sword, Jade Sword
erebus:jade_pickaxe, Jade Pickaxe
erebus:jade_axe, Jade Axe
erebus:jade_shovel, Jade Shovel
erebus:jade_paxel, Jade Paxel
erebus:jade_hoe, Jade Hoe
erebus:exoskeleton_helmet, Exoskeleton Helmet
erebus:exoskeleton_chestplate, Exoskeleton Chestplate
erebus:exoskeleton_leggings, Exoskeleton Leggings
erebus:exoskeleton_boots, Exoskeleton Boots
erebus:rein_exoskeleton_helmet, Reinforced Exoskeleton Helmet
erebus:rein_exoskeleton_chestplate, Reinforced Exoskeleton Chestplate
erebus:rein_exoskeleton_leggings, Reinforced Exoskeleton Leggings
erebus:rein_exoskeleton_boots, Reinforced Exoskeleton Boots
erebus:rhino_exoskeleton_helmet, Rhino Plate Helmet
erebus:rhino_exoskeleton_chestplate, Rhino Plate Chestplate
erebus:rhino_exoskeleton_leggings, Rhino Plate Leggings
erebus:rhino_exoskeleton_boots, Rhino Plate Boots
erebus:bamboo_helmet, Bamboo Helmet
erebus:bamboo_chestplate, Bamboo Chestplate
erebus:bamboo_leggings, Bamboo Leggings
erebus:bamboo_boots, Bamboo Boots
erebus:bambucket, Bambucket
erebus:rein_compound_goggles, Reinforced Compound Goggles
erebus:compound_goggles, Compound Goggles
erebus:sprint_leggings, Sprint Leggings
erebus:jump_boots, Jump Boots
erebus:glider_chestplate, Glider Chestplate
erebus:glider_chestplate_powered, Powered Glider Chestplate
erebus:mushroom_helmet, Mush Helm
erebus:spider_t_shirt, Tarantula Boss Trophy
erebus:water_striders, Water Striders
erebus:bamboo_shield, Bamboo Shield
erebus:exoskeleton_shield, Exoskeleton Shield
erebus:jade_shield, Jade Shield
erebus:rein_exoskeleton_shield, Reinforced Exoskeleton Shield
erebus:rhino_exoskeleton_shield, Rhino Plate Shield
erebus:rolled_newspaper, Rolled-up Newspaper
erebus:wasp_sword, Wasp Sword
erebus:wasp_dagger, Wasp Dagger
erebus:enhanced_scorpion_pincer, Augmented Scorpion Pincer
erebus:war_hammer, Quake Hammer
erebus:web_slinger, Web Slinger
erebus:web_slinger_wither, Wither Web Slinger
erebus:max_speed_bow, Maximum Speed Bow
erebus:nectar_collector, Nectar Collector
erebus:ant_taming_amulet, Ant Taming Amulet
erebus:bee_taming_amulet, Bee Taming Amulet
erebus:woodlouse_ball, Woodlouse Ball
erebus:wand_of_animation, Wand of Animation
erebus:anti_venom_bottle, Bottle of Anti-Venom
erebus:flower_seed:0, Black Flower Seeds
erebus:flower_seed:1, Red Flower Seeds
erebus:flower_seed:2, Brown Flower Seeds
erebus:flower_seed:3, Blue Flower Seeds
erebus:flower_seed:4, Purple Flower Seeds
erebus:flower_seed:5, Cyan Flower Seeds
erebus:flower_seed:6, Light Gray Flower Seeds
erebus:flower_seed:7, Gray Flower Seeds
erebus:flower_seed:8, Pink Flower Seeds
erebus:flower_seed:9, Yellow Flower Seeds
erebus:flower_seed:10, Light Blue Flower Seeds
erebus:flower_seed:11, Magenta Flower Seeds
erebus:flower_seed:12, Orange Flower Seeds
erebus:flower_seed:13, White Flower Seeds
erebus:flower_seed:14, Rainbow Flower Seeds
erebus:death_compass, Death Compass
erebus:spray_can, Insect Repellent
erebus:whetstone:0, Whetstone
erebus:whetstone:1, Whetstone
erebus:whetstone:2, Whetstone
erebus:whetstone:3, Whetstone
erebus:whetstone:4, Whetstone
erebus:whetstone:5, Whetstone
erebus:portal_activator, Staff of Gaea
erebus:homing_beecon, Homing Beecon
erebus:homing_beecon_advanced, Advanced Homing Beecon
erebus:wand_of_preservation, Wand of Preservation
erebus:compost, Compost
erebus:planticide, Planticide
erebus:smoothie_book, Smoothie-matic 2000
erebus:horn_of_summoning, Horn of Bee Summoning
erebus:erebus_map, Empty Papyrus Map (N.Y.I)
erebus:erebus_map_filled:0, Papyrus Map (N.Y.I)
erebus:umberstone:0, Umberstone
erebus:umberstone:1, Umbercobble
erebus:umberstone:2, Mossy Umbercobble
erebus:umberstone:3, Webbed Umbercobble
erebus:umberstone:4, Umberbricks
erebus:umberstone:5, Smooth Umbertile
erebus:umberstone:6, Small Umbertiles
erebus:planks:0, Baobab Planks
erebus:planks:1, Eucalyptus Planks
erebus:planks:2, Mahogany Planks
erebus:planks:3, Mossbark Planks
erebus:planks:4, Asper Planks
erebus:planks:5, Cypress Planks
erebus:planks:6, Balsam Planks
erebus:planks:7, White Planks
erebus:planks:8, Bamboo Planks
erebus:planks:9, Rotten Planks
erebus:planks:10, Marshwood Planks
erebus:planks:11, Scorched Planks
erebus:planks:12, Varnished Planks
erebus:portal, Erebus Portal Block
erebus:gaean_keystone, Gaean Keystone
erebus:umbergravel, Umberpebbles
erebus:umberpaver:0, Umberpaver
erebus:umberpaver:1, Mossy Umberpaver
erebus:umberpaver:2, Webbed Umberpaver
erebus:umberstone_pillar, Umberpillar
erebus:petrified_wood_rock, Petrified Wood Rock
erebus:petrified_wood_rock_2, Petrified Wood Rock
erebus:petrified_wood_rock_3, Petrified Wood Rock
erebus:petrified_wood_rock_4, Petrified Wood Rock
erebus:petrified_wood_rock_5, Petrified Wood Rock
erebus:petrified_wood_rock_6, Petrified Wood Rock
erebus:petrified_bark_red, Red Petrified Bark 
erebus:petrified_bark_brown, Brown Petrified Bark 
erebus:petrified_log_inner, Petrified Heartwood
erebus:dust_layer, Dust Layer
erebus:dust, Dust
erebus:dung, Dung
erebus:ore_iron, Iron Ore
erebus:ore_gold, Gold Ore
erebus:ore_coal, Coal Ore
erebus:ore_diamond, Diamond Ore
erebus:ore_emerald, Emerald Ore
erebus:ore_lapis, Lapis Lazuli Ore
erebus:ore_quartz, Quartz Ore
erebus:ore_petrified_quartz, Petrified Quartz Ore
erebus:ore_copper, Copper Ore
erebus:ore_silver, Silver Ore
erebus:ore_tin, Tin Ore
erebus:ore_lead, Lead Ore
erebus:ore_aluminium, Aluminum Ore
erebus:ore_jade, Jade Ore
erebus:ore_encrusted_diamond, Volcanic Diamond Ore
erebus:ore_fossil, Fossil Ore
erebus:ore_gneiss, Gneiss Ore
erebus:ore_petrified_wood, Petrified Wood Ore
erebus:ore_temple, Temple Ore
erebus:jade_block, Block of Jade
erebus:amber, Amber
erebus:amber_bricks, Amber Bricks
erebus:amber_glass, Amber Glass
erebus:door_amber, Amber Door
erebus:preserved_block:0, Amber Preservation Block
erebus:mud, Mud
erebus:quick_sand, Quicksand
erebus:red_gem:0, Red Gem
erebus:red_gem:1, Red Gem Lamp
erebus:red_gem:2, Red Gem Lamp
erebus:swamp_vent, Swamp Vent
erebus:ghost_sand, Ghost sand
erebus:crop_turnip, Turnips
erebus:crop_cabbage, Cabbage
erebus:crop_mandrake, Mandrake
erebus:jade_berry_bush, Jadeberry Bush
erebus:heart_berry_bush, Heartberry Bush
erebus:swamp_berry_bush, Swampberry Bush
erebus:dark_fruit_vine, Dark Fruit Vine
erebus:prickly_pear, Prickly Pear Cactus
erebus:giant_flower:0, Black Petal Block
erebus:giant_flower:1, Red Petal Block
erebus:giant_flower:2, Brown Petal Block
erebus:giant_flower:3, Blue Petal Block
erebus:giant_flower:4, Purple Petal Block
erebus:giant_flower:5, Cyan Petal Block
erebus:giant_flower:6, Light Gray Petal Block
erebus:giant_flower:7, Gray Petal Block
erebus:giant_flower:8, Pink Petal Block
erebus:giant_flower:9, Yellow Petal Block
erebus:giant_flower:10, Light Blue Petal Block
erebus:giant_flower:11, Magenta Petal Block
erebus:giant_flower:12, Orange Petal Block
erebus:giant_flower:13, White Petal Block
erebus:giant_flower:14, Exploding Stigma
erebus:giant_flower:15, Stem
erebus:giant_flower_stigma:0, Black Stigma
erebus:giant_flower_stigma:1, Red Stigma
erebus:giant_flower_stigma:2, Brown Stigma
erebus:giant_flower_stigma:3, Blue Stigma
erebus:giant_flower_stigma:4, Purple Stigma
erebus:giant_flower_stigma:5, Cyan Stigma
erebus:giant_flower_stigma:6, Light Gray Stigma
erebus:giant_flower_stigma:7, Gray Stigma
erebus:giant_flower_stigma:8, Pink Stigma
erebus:giant_flower_stigma:9, Yellow Stigma
erebus:giant_flower_stigma:10, Light Blue Stigma
erebus:giant_flower_stigma:11, Magenta Stigma
erebus:giant_flower_stigma:12, Orange Stigma
erebus:giant_flower_stigma:13, White Stigma
erebus:giant_flower_stigma:14, Rainbow Stigma
erebus:planted_flower:0, Black Flower
erebus:planted_flower:1, Red Flower
erebus:planted_flower:2, Brown Flower
erebus:planted_flower:3, Blue Flower
erebus:planted_flower:4, Purple Flower
erebus:planted_flower:5, Cyan Flower
erebus:planted_flower:6, Light Gray Flower
erebus:planted_flower:7, Gray Flower
erebus:planted_flower:8, Pink Flower
erebus:planted_flower:9, Yellow Flower
erebus:planted_flower:10, Light Blue Flower
erebus:planted_flower:11, Magenta Flower
erebus:planted_flower:12, Orange Flower
erebus:planted_flower:13, White Flower
erebus:planted_flower:14, Rainbow Flower
erebus:small_plant:0, Nettle
erebus:small_plant:1, Blooming Nettle
erebus:small_plant:2, Swamp Plant
erebus:small_plant:3, Desert Shrub
erebus:small_plant:4, Firebloom
erebus:small_plant:5, Fiddlehead
erebus:small_plant:6, Fern
erebus:thorns, Thorns
erebus:hanging_web, Hanging Webs
erebus:double_plant:0, Bullrush
erebus:double_plant:1, Weeping Bluebell
erebus:double_plant:2, Sundew
erebus:double_plant:3, Droughted Shrub
erebus:double_plant:4, Tall Bloom
erebus:double_plant:5, Tangled Stalk Mushroom
erebus:double_plant:6, High Capped Mushroom
erebus:double_plant:7, Tall Fern
erebus:wall_plants:1, Moss
erebus:wall_plants:7, Mould
erebus:wall_plants_cultivated:1, Cultivated Moss
erebus:wall_plants_cultivated:7, Cultivated Mould
erebus:algae, Swamp Algae
erebus:honey_treat, Honey Treat
erebus:dark_capped_mushroom, Dark Capped Mushroom
erebus:sarcastic_czech_mushroom, Sarcastic Czech Mushroom
erebus:grandmas_shoes_mushroom, Grandma's Shoes Mushroom
erebus:dutch_cap_mushroom, Dutch Cap Mushroom
erebus:kaizers_fingers_mushroom, Kaizer's Fingers Mushroom
erebus:dark_capped_mushroom_block, Dark Capped Mushroom Block
erebus:sarcastic_czech_mushroom_block, Sarcastic Czech Mushroom Block
erebus:grandmas_shoes_mushroom_block, Grandma's Shoes Mushroom Block
erebus:dutch_cap_mushroom_block, Dutch Cap Mushroom Block
erebus:kaizers_fingers_mushroom_block, Kaizer's Fingers Mushroom Block
erebus:glowshroom, Glowshroom
erebus:glowshroom_stalk_main, Glowshroom Stalk
erebus:wither_web, Wither Web
erebus:silk, Silk
erebus:mir_brick, Mirbrick
erebus:planks_petrified_wood, Petrified Wood Planks
erebus:door_petrified_wood, Petrified Wood Door
erebus:rein_exo, Reinforced Exo Blocks
erebus:mud_brick, Mud Brick
erebus:temple_brick, Temple Brick
erebus:temple_pillar, Temple Pillar
erebus:temple_tile, Temple Tile
erebus:volcanic_rock, Volcanic Rock
erebus:gneiss:0, Gneiss
erebus:gneiss:1, Carved Gneiss
erebus:gneiss:2, Layered Gneiss
erebus:gneiss:3, Gneiss Brick
erebus:gneiss:4, Smooth Gneiss
erebus:gneiss:5, Gneiss Tiles
